GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sales,com.sales_microservice.sales.security.auth,JwtUtils,54,3,0,0,18,1,3,1,3,1
sales,com.sales_microservice.sales.security.auth,AuthService,0,26,0,0,0,7,0,3,0,3
sales,com.sales_microservice.sales.mapper,SalesMapper,0,83,0,2,0,23,0,4,0,3
sales,com.sales_microservice.sales.exception,InvalidSalesException,0,4,0,0,0,2,0,1,0,1
sales,com.sales_microservice.sales.exception,SalesNotFoundException,0,4,0,0,0,2,0,1,0,1
sales,com.sales_microservice.sales.controller,SalesController,12,100,3,5,3,27,3,8,0,7
sales,com.sales_microservice.sales.dto,SalesDetailDTO,0,3,0,0,0,1,0,1,0,1
sales,com.sales_microservice.sales.dto,SalesDTO,0,3,0,0,0,1,0,1,0,1
sales,com.sales_microservice.sales,SalesApplication,5,3,0,0,2,1,1,1,1,1
sales,com.sales_microservice.sales.service,SalesServiceImpl,271,9,12,0,62,4,19,1,13,1
sales,com.sales_microservice.sales.entities,SalesStatus,39,0,0,0,7,0,1,0,1,0
